time,open,high,low,close,volume,spread,real_volume
2025-12-18 20:24:00,4333.51,4336.21,4332.43,4333.7,2120,3,0
2025-12-18 20:27:00,4333.86,4334.31,4331.81,4332.23,1597,3,0
2025-12-18 20:30:00,4332.2,4337.35,4332.0,4336.9,1538,3,0
2025-12-18 20:33:00,4336.9,4339.02,4335.94,4338.94,1063,4,0
2025-12-18 20:36:00,4338.88,4340.34,4337.76,4337.87,1388,3,0
2025-12-18 20:39:00,4337.79,4337.82,4335.36,4336.37,1068,3,0
2025-12-18 20:42:00,4336.38,4336.8,4333.02,4333.72,1413,3,0
2025-12-18 20:45:00,4333.7,4334.48,4331.88,4332.12,1898,3,0
2025-12-18 20:48:00,4332.16,4332.39,4325.76,4329.09,1841,3,0
2025-12-18 20:51:00,4329.07,4330.18,4327.28,4327.99,1464,3,0
2025-12-18 20:54:00,4328.08,4330.76,4326.66,4329.68,996,3,0
2025-12-18 20:57:00,4329.66,4331.91,4328.65,4331.87,882,3,0
2025-12-18 21:00:00,4331.82,4331.95,4329.26,4329.57,963,3,0
2025-12-18 21:03:00,4329.59,4329.74,4326.47,4329.03,1419,3,0
2025-12-18 21:06:00,4329.05,4331.14,4327.63,4330.75,963,3,0
2025-12-18 21:09:00,4330.7,4333.1,4330.37,4330.68,810,3,0
2025-12-18 21:12:00,4330.76,4331.07,4328.53,4329.35,1108,3,0
2025-12-18 21:15:00,4329.36,4332.38,4328.68,4332.01,1230,3,0
2025-12-18 21:18:00,4331.98,4333.81,4331.41,4333.18,1562,3,0
2025-12-18 21:21:00,4333.11,4334.24,4330.79,4330.94,1216,3,0
2025-12-18 21:24:00,4330.93,4332.37,4329.98,4330.1,1298,3,0
2025-12-18 21:27:00,4330.02,4334.09,4329.4,4333.71,1303,3,0
2025-12-18 21:30:00,4333.73,4334.69,4332.4,4333.3,1311,4,0
2025-12-18 21:33:00,4333.28,4334.39,4330.63,4333.62,1595,3,0
2025-12-18 21:36:00,4333.6,4333.6,4330.49,4330.97,1259,3,0
2025-12-18 21:39:00,4331.01,4333.42,4330.56,4332.93,1396,3,0
2025-12-18 21:42:00,4332.95,4333.45,4327.65,4329.61,1531,3,0
2025-12-18 21:45:00,4329.62,4330.78,4327.16,4327.54,1133,3,0
2025-12-18 21:48:00,4327.57,4329.46,4326.9,4327.54,1489,3,0
2025-12-18 21:51:00,4327.51,4328.54,4323.4,4324.03,1697,3,0
2025-12-18 21:54:00,4324.04,4324.88,4322.82,4324.18,1792,3,0
2025-12-18 21:57:00,4324.18,4325.58,4323.6,4325.02,1192,3,0
2025-12-18 22:00:00,4325.02,4329.03,4324.63,4328.64,1651,3,0
2025-12-18 22:03:00,4328.62,4334.63,4328.51,4334.23,2210,3,0
2025-12-18 22:06:00,4334.18,4336.23,4333.79,4334.67,2496,3,0
2025-12-18 22:09:00,4334.62,4335.12,4332.7,4333.45,1907,3,0
2025-12-18 22:12:00,4333.44,4334.18,4331.72,4333.67,1181,3,0
2025-12-18 22:15:00,4333.77,4334.01,4329.22,4330.73,1584,3,0
2025-12-18 22:18:00,4330.72,4331.85,4328.35,4330.85,2789,3,0
2025-12-18 22:21:00,4330.81,4331.7,4329.81,4331.05,1945,3,0
2025-12-18 22:24:00,4331.03,4333.07,4331.01,4332.09,1614,3,0
2025-12-18 22:27:00,4332.06,4332.95,4330.72,4332.45,1594,3,0
2025-12-18 22:30:00,4332.48,4332.64,4331.14,4332.12,1782,3,0
2025-12-18 22:33:00,4332.07,4336.03,4331.79,4335.06,1754,3,0
2025-12-18 22:36:00,4335.05,4337.23,4334.97,4335.74,1967,3,0
2025-12-18 22:39:00,4335.72,4338.11,4334.97,4337.45,1809,3,0
2025-12-18 22:42:00,4337.43,4338.33,4335.73,4336.07,2209,3,0
2025-12-18 22:45:00,4336.06,4336.35,4334.7,4334.71,2069,3,0
2025-12-18 22:48:00,4334.7,4335.88,4333.94,4334.53,1725,3,0
2025-12-18 22:51:00,4334.5,4334.55,4332.67,4333.3,2071,3,0
2025-12-18 22:54:00,4333.3,4334.56,4332.27,4334.28,1826,3,0
2025-12-18 22:57:00,4334.3,4335.84,4333.33,4334.92,1942,3,0
2025-12-18 23:00:00,4334.89,4334.89,4331.61,4332.05,764,3,0
2025-12-18 23:03:00,4332.02,4333.65,4331.27,4333.1,695,3,0
2025-12-18 23:06:00,4333.12,4333.49,4331.81,4332.62,424,3,0
2025-12-18 23:09:00,4332.61,4333.55,4332.45,4333.15,550,3,0
2025-12-18 23:12:00,4333.12,4333.43,4332.6,4332.69,300,3,0
2025-12-18 23:15:00,4332.7,4332.81,4331.67,4331.9,580,3,0
2025-12-18 23:18:00,4331.94,4333.02,4331.56,4331.62,405,3,0
2025-12-18 23:21:00,4331.62,4331.78,4330.68,4331.64,642,3,0
2025-12-18 23:24:00,4331.63,4332.65,4331.61,4331.92,566,3,0
2025-12-18 23:27:00,4331.96,4332.73,4331.33,4332.04,953,3,0
2025-12-18 23:30:00,4331.91,4332.72,4331.49,4331.98,594,3,0
2025-12-18 23:33:00,4331.96,4331.99,4330.55,4330.58,424,3,0
2025-12-18 23:36:00,4330.49,4330.77,4328.45,4330.62,475,3,0
2025-12-18 23:39:00,4330.64,4331.44,4330.47,4330.96,249,3,0
2025-12-18 23:42:00,4330.94,4331.47,4330.8,4330.92,165,3,0
2025-12-18 23:45:00,4330.92,4332.36,4330.92,4331.72,434,3,0
2025-12-18 23:48:00,4331.74,4332.9,4331.58,4331.93,382,3,0
2025-12-18 23:51:00,4331.98,4333.7,4331.12,4333.6,254,3,0
2025-12-18 23:54:00,4333.64,4334.03,4332.02,4332.62,341,3,0
2025-12-18 23:57:00,4332.65,4332.88,4332.08,4332.74,191,3,0
2025-12-19 01:00:00,4332.93,4336.04,4332.85,4335.77,170,3,0
2025-12-19 01:03:00,4335.85,4336.37,4334.71,4335.73,172,3,0
2025-12-19 01:06:00,4335.78,4336.46,4335.41,4336.07,141,3,0
2025-12-19 01:09:00,4336.06,4336.07,4334.64,4335.55,165,3,0
2025-12-19 01:12:00,4335.57,4335.94,4334.48,4334.82,271,3,0
2025-12-19 01:15:00,4334.8,4335.18,4334.42,4334.92,111,3,0
2025-12-19 01:18:00,4334.91,4335.4,4334.59,4334.72,733,3,0
2025-12-19 01:21:00,4334.75,4336.32,4334.68,4336.24,143,3,0
2025-12-19 01:24:00,4336.25,4336.53,4335.32,4335.67,165,3,0
2025-12-19 01:27:00,4335.73,4335.83,4333.96,4334.01,239,3,0
2025-12-19 01:30:00,4334.08,4335.2,4333.6,4334.83,328,3,0
2025-12-19 01:33:00,4334.88,4335.07,4333.83,4334.18,152,3,0
2025-12-19 01:36:00,4334.14,4334.36,4333.64,4334.36,77,3,0
2025-12-19 01:39:00,4334.37,4335.64,4334.31,4334.57,177,3,0
2025-12-19 01:42:00,4334.56,4334.81,4333.96,4334.13,229,3,0
2025-12-19 01:45:00,4334.16,4335.14,4333.91,4335.0,167,3,0
2025-12-19 01:48:00,4335.01,4336.05,4335.01,4335.62,187,3,0
2025-12-19 01:51:00,4335.65,4336.16,4334.29,4336.08,221,3,0
2025-12-19 01:54:00,4336.05,4336.97,4335.49,4336.3,297,3,0
2025-12-19 01:57:00,4336.33,4336.33,4334.73,4335.19,235,3,0
2025-12-19 02:00:00,4335.16,4335.64,4333.63,4335.53,395,3,0
2025-12-19 02:03:00,4335.59,4335.85,4332.86,4333.23,319,3,0
2025-12-19 02:06:00,4333.21,4334.08,4331.85,4331.94,414,3,0
2025-12-19 02:09:00,4331.93,4333.46,4329.45,4330.55,456,3,0
2025-12-19 02:12:00,4330.42,4330.94,4329.77,4330.08,322,3,0
2025-12-19 02:15:00,4330.07,4330.89,4328.81,4328.92,342,3,0
2025-12-19 02:18:00,4328.91,4330.21,4328.12,4329.97,477,3,0
2025-12-19 02:21:00,4329.92,4331.7,4329.92,4331.19,710,3,0
2025-12-19 02:24:00,4331.15,4332.09,4331.0,4332.09,245,3,0
2025-12-19 02:27:00,4332.12,4332.16,4331.02,4331.42,167,3,0
2025-12-19 02:30:00,4331.45,4332.55,4330.69,4330.87,295,3,0
2025-12-19 02:33:00,4330.85,4331.64,4330.59,4331.27,233,3,0
2025-12-19 02:36:00,4331.24,4332.1,4330.99,4331.75,270,3,0
2025-12-19 02:39:00,4331.73,4331.73,4330.49,4330.72,391,3,0
2025-12-19 02:42:00,4330.68,4330.68,4327.95,4328.59,484,3,0
2025-12-19 02:45:00,4328.55,4329.35,4327.0,4327.41,290,3,0
2025-12-19 02:48:00,4327.52,4330.03,4327.23,4330.03,404,3,0
2025-12-19 02:51:00,4329.96,4330.44,4329.44,4330.39,359,3,0
2025-12-19 02:54:00,4330.42,4331.19,4329.97,4330.93,425,3,0
2025-12-19 02:57:00,4330.85,4331.21,4325.9,4326.17,609,3,0
2025-12-19 03:00:00,4326.18,4327.34,4320.48,4325.43,2943,3,0
2025-12-19 03:03:00,4325.39,4326.17,4321.75,4325.36,2038,3,0
2025-12-19 03:06:00,4325.28,4327.81,4324.06,4326.0,1444,3,0
2025-12-19 03:09:00,4326.02,4326.84,4324.0,4326.54,816,3,0
2025-12-19 03:12:00,4326.57,4327.01,4325.43,4325.93,718,3,0
2025-12-19 03:15:00,4325.91,4328.54,4324.86,4327.48,1186,3,0
2025-12-19 03:18:00,4327.44,4328.02,4323.86,4324.03,835,3,0
2025-12-19 03:21:00,4324.03,4324.52,4318.8,4319.24,1136,3,0
2025-12-19 03:24:00,4319.1,4319.85,4315.29,4318.19,1833,3,0
2025-12-19 03:27:00,4318.17,4318.46,4309.6,4313.36,1850,3,0
2025-12-19 03:30:00,4313.38,4315.53,4311.97,4315.42,1507,3,0
2025-12-19 03:33:00,4315.21,4315.56,4309.39,4311.36,1525,3,0
2025-12-19 03:36:00,4311.61,4317.35,4311.12,4317.35,1149,3,0
2025-12-19 03:39:00,4317.38,4318.55,4316.61,4318.08,888,3,0
2025-12-19 03:42:00,4318.15,4319.02,4316.96,4317.45,1041,3,0
2025-12-19 03:45:00,4317.45,4319.96,4316.81,4319.92,763,3,0
2025-12-19 03:48:00,4319.94,4321.02,4318.43,4320.59,1037,3,0
2025-12-19 03:51:00,4320.55,4323.69,4320.45,4323.56,912,3,0
2025-12-19 03:54:00,4323.59,4324.1,4322.62,4323.82,769,3,0
2025-12-19 03:57:00,4323.79,4324.03,4322.18,4323.29,929,3,0
2025-12-19 04:00:00,4323.32,4327.95,4323.32,4327.11,829,3,0
2025-12-19 04:03:00,4327.13,4327.63,4323.49,4324.33,725,3,0
2025-12-19 04:06:00,4324.34,4326.53,4323.55,4324.17,564,3,0
2025-12-19 04:09:00,4324.2,4326.77,4324.2,4325.14,556,3,0
2025-12-19 04:12:00,4325.2,4325.45,4323.76,4324.32,463,3,0
2025-12-19 04:15:00,4324.3,4324.79,4323.58,4324.75,320,3,0
2025-12-19 04:18:00,4324.71,4324.71,4322.21,4322.7,1051,3,0
2025-12-19 04:21:00,4322.68,4323.87,4322.68,4323.4,535,3,0
2025-12-19 04:24:00,4323.44,4323.44,4321.74,4322.95,466,3,0
2025-12-19 04:27:00,4322.95,4324.84,4322.52,4324.62,306,3,0
2025-12-19 04:30:00,4324.71,4326.13,4324.59,4325.08,503,3,0
2025-12-19 04:33:00,4325.02,4325.04,4320.47,4320.48,570,3,0
2025-12-19 04:36:00,4320.5,4321.36,4317.83,4319.89,749,3,0
2025-12-19 04:39:00,4319.94,4322.36,4316.74,4316.75,795,3,0
2025-12-19 04:42:00,4316.71,4318.35,4314.81,4316.0,853,3,0
2025-12-19 04:45:00,4316.02,4317.6,4314.44,4316.99,755,3,0
2025-12-19 04:48:00,4316.97,4317.76,4315.55,4315.61,576,3,0
2025-12-19 04:51:00,4315.6,4318.08,4315.52,4317.09,564,3,0
2025-12-19 04:54:00,4317.05,4318.42,4316.83,4318.19,402,3,0
2025-12-19 04:57:00,4318.05,4318.73,4315.85,4316.99,687,3,0
2025-12-19 05:00:00,4316.94,4316.94,4312.62,4314.86,1343,3,0
2025-12-19 05:03:00,4314.78,4316.15,4313.66,4314.66,869,3,0
2025-12-19 05:06:00,4314.69,4317.05,4314.06,4316.51,860,3,0
2025-12-19 05:09:00,4316.48,4318.0,4315.37,4317.7,600,3,0
2025-12-19 05:12:00,4317.73,4318.01,4315.32,4316.39,520,3,0
2025-12-19 05:15:00,4316.52,4318.01,4315.83,4317.44,1057,3,0
2025-12-19 05:18:00,4317.44,4317.79,4315.81,4316.83,820,3,0
2025-12-19 05:21:00,4316.94,4317.61,4313.08,4314.81,1016,3,0
2025-12-19 05:24:00,4314.85,4319.51,4313.91,4319.3,1090,3,0
2025-12-19 05:27:00,4319.3,4321.62,4318.74,4319.4,894,3,0
2025-12-19 05:30:00,4319.58,4322.46,4319.4,4321.86,703,3,0
2025-12-19 05:33:00,4321.87,4322.03,4319.99,4320.96,652,3,0
2025-12-19 05:36:00,4321.07,4321.07,4317.16,4318.91,432,3,0
2025-12-19 05:39:00,4318.85,4319.57,4318.4,4319.01,391,3,0
2025-12-19 05:42:00,4318.99,4319.93,4317.63,4319.75,269,3,0
2025-12-19 05:45:00,4319.73,4320.91,4319.01,4319.26,409,3,0
2025-12-19 05:48:00,4319.16,4319.52,4318.09,4318.24,355,3,0
2025-12-19 05:51:00,4318.19,4321.0,4317.95,4320.02,554,3,0
2025-12-19 05:54:00,4320.0,4320.87,4318.55,4318.64,379,3,0
2025-12-19 05:57:00,4318.6,4319.06,4317.75,4318.12,432,3,0
2025-12-19 06:00:00,4318.13,4319.41,4317.79,4317.86,469,3,0
2025-12-19 06:03:00,4317.89,4319.21,4317.87,4319.18,373,3,0
2025-12-19 06:06:00,4319.17,4319.79,4318.77,4319.53,522,3,0
2025-12-19 06:09:00,4319.5,4319.99,4318.44,4318.81,445,3,0
2025-12-19 06:12:00,4318.82,4319.49,4318.43,4319.15,261,3,0
2025-12-19 06:15:00,4319.18,4319.46,4318.37,4319.32,368,3,0
2025-12-19 06:18:00,4319.31,4320.0,4318.01,4319.47,507,3,0
2025-12-19 06:21:00,4319.49,4319.57,4317.87,4318.73,997,3,0
2025-12-19 06:24:00,4318.73,4318.84,4317.34,4317.46,1078,3,0
2025-12-19 06:27:00,4317.43,4318.15,4316.91,4317.57,1296,3,0
2025-12-19 06:30:00,4317.59,4318.66,4317.37,4318.45,623,3,0
2025-12-19 06:33:00,4318.43,4319.26,4317.97,4319.17,714,3,0
2025-12-19 06:36:00,4319.12,4320.88,4317.93,4320.32,1060,3,0
2025-12-19 06:39:00,4320.28,4321.66,4320.11,4320.42,697,3,0
2025-12-19 06:42:00,4320.4,4320.77,4319.91,4320.48,919,3,0
2025-12-19 06:45:00,4320.49,4320.99,4320.09,4320.63,659,3,0
2025-12-19 06:48:00,4320.6,4321.03,4319.7,4320.82,465,3,0
2025-12-19 06:51:00,4320.86,4322.32,4320.59,4320.97,878,3,0
2025-12-19 06:54:00,4320.95,4322.23,4320.21,4321.95,696,3,0
2025-12-19 06:57:00,4321.95,4323.04,4321.9,4322.79,588,3,0
2025-12-19 07:00:00,4322.8,4323.97,4322.48,4322.66,696,3,0
2025-12-19 07:03:00,4322.68,4322.76,4320.21,4320.76,527,3,0
2025-12-19 07:06:00,4320.78,4322.32,4320.31,4320.68,613,3,0
2025-12-19 07:09:00,4320.69,4321.23,4320.5,4320.93,383,3,0
2025-12-19 07:12:00,4321.01,4321.04,4318.38,4318.81,543,3,0
2025-12-19 07:15:00,4318.77,4319.88,4318.75,4319.84,407,3,0
2025-12-19 07:18:00,4319.84,4320.08,4317.87,4318.34,361,3,0
2025-12-19 07:21:00,4318.33,4320.17,4317.67,4320.17,438,3,0
2025-12-19 07:24:00,4320.2,4320.67,4319.07,4319.46,335,3,0
2025-12-19 07:27:00,4319.45,4320.12,4319.23,4319.91,284,3,0
2025-12-19 07:30:00,4319.91,4324.88,4319.91,4323.81,1507,3,0
2025-12-19 07:33:00,4323.82,4326.57,4322.99,4325.75,1639,3,0
2025-12-19 07:36:00,4325.75,4326.01,4323.47,4323.52,942,3,0
2025-12-19 07:39:00,4323.54,4326.2,4323.48,4325.67,785,3,0
2025-12-19 07:42:00,4325.68,4326.69,4325.28,4325.28,596,3,0
2025-12-19 07:45:00,4325.3,4327.42,4325.3,4326.42,1409,3,0
2025-12-19 07:48:00,4326.42,4327.83,4325.61,4326.44,1877,3,0
2025-12-19 07:51:00,4326.45,4329.03,4326.44,4328.05,2408,3,0
2025-12-19 07:54:00,4328.06,4328.24,4325.07,4325.62,1612,3,0
2025-12-19 07:57:00,4325.61,4326.81,4324.96,4326.05,879,3,0
